Date,Description,Amount,Category
2025-04-10,InDrive,70.72,Transport
2025-12-14,House Leasing,126.53,Rent
2025-06-12,Steam Games,350.84,Entertainment
2025-07-07,Apartment Rent,110.52,Rent
2025-04-17,Steam Games,331.37,Entertainment
2025-06-14,Steam Games,267.41,Entertainment
2025-10-15,Water Bill,426.67,Utilities
2025-06-17,Eid Clothes,425.07,Shopping
2025-09-17,Concert Ticket,96.09,Entertainment
2026-01-22,House Leasing,232.79,Rent
2026-02-26,Emirates Airline,200.04,Travel
2025-07-17,Chai,420.62,Food
2025-07-29,K-Electric,192.55,Utilities
2025-10-17,Apartment Rent,86.63,Rent
2025-05-27,Spotify Premium,273.93,Subscriptions
2025-07-14,Foodpanda,289.44,Food
2025-12-08,Sambosa,206.5,Food
2025-10-15,Cinema,197.8,Entertainment
2025-10-20,Sui Gas,451.35,Utilities
2025-10-20,Nueplex,303.66,Entertainment
2025-07-05,Hostel Dues,326.08,Rent
2025-11-23,Panadol,436.57,Health
2025-09-29,Emirates Airline,275.01,Travel
2025-12-03,Train Ticket,47.37,Travel
2025-05-19,Gym Membership,399.12,Subscriptions
2025-05-11,Train Ticket,51.26,Travel
2025-04-21,Petrol,195.73,Transport
2025-06-24,Train Ticket,165.26,Travel
2025-08-25,Gym Membership,293.71,Subscriptions
2026-01-18,K-Electric,382.51,Utilities
2025-05-13,Apartment Rent,118.46,Rent
2026-03-14,PTCL Internet,329.46,Utilities
2025-11-27,Train Ticket,14.82,Travel
2026-01-15,Hotel Booking,116.55,Travel
2025-04-12,Sui Gas,465.31,Utilities
2026-01-13,Train Ticket,256.74,Travel
2025-06-13,Cloud Storage,75.77,Subscriptions
2025-11-30,Eid Clothes,339.05,Shopping
2025-08-05,Bazaar,498.63,Shopping
2025-09-03,Emirates Airline,57.89,Travel
2025-09-10,K-Electric,47.62,Utilities
2026-01-24,Cloud Storage,256.26,Subscriptions
2026-01-10,Concert Ticket,261.75,Entertainment
2025-04-16,Shell Oil,249.32,Transport
2025-11-05,McDonalds,22.84,Food
2025-12-18,Grocery,100.63,Shopping
2025-06-17,Gym Membership,42.27,Subscriptions
2025-10-15,Sui Gas,480.38,Utilities
2025-09-16,Chai,189.66,Food
2025-04-02,Hostel Dues,385.99,Rent
2025-06-11,KFC,170.31,Food
2025-10-01,Careem,258.62,Transport
2025-11-10,Cloud Storage,460.62,Subscriptions
2025-04-23,Gym Membership,481.49,Subscriptions
2025-08-14,Panadol,70.58,Health
2026-03-02,Train Ticket,400.16,Travel
2025-12-13,Emirates Airline,383.65,Travel
2025-08-19,Cinema,486.65,Entertainment
2025-06-01,PSO Pump,136.21,Transport
2025-08-05,Imtiaz Super Market,477.46,Shopping
2025-12-03,Steam Games,467.45,Entertainment
2025-05-26,Walmart,482.48,Shopping
2025-08-03,Sui Gas,96.32,Utilities
2025-12-07,Gym Membership,247.15,Subscriptions
2025-09-19,InDrive,167.47,Transport
2025-05-15,Foodpanda,409.78,Food
2025-12-31,Imtiaz Super Market,67.33,Shopping
2025-05-01,Apartment Rent,308.59,Rent
2025-03-27,Cafe,485.92,Food
2025-05-18,InDrive,415.1,Transport
2025-09-23,PIA Ticket,239.43,Travel
2025-09-08,Cinema,425.31,Entertainment
2026-01-02,KFC,94.18,Food
2026-02-10,Cloud Storage,151.66,Subscriptions
2025-12-27,PTCL Internet,17.05,Utilities
2025-04-02,Electric Bill,263.79,Utilities
2025-06-28,Nueplex,101.29,Entertainment
2025-04-27,Walmart,444.79,Shopping
2025-05-18,Imtiaz Super Market,198.69,Shopping
2026-01-11,Cloud Storage,243.79,Subscriptions
2026-02-25,Gym Membership,183.98,Subscriptions
2026-01-06,Apartment Rent,45.29,Rent
2025-06-12,PTCL Internet,113.62,Utilities
2025-12-29,Starbucks,272.82,Food
2025-12-09,Daraz,367.96,Shopping
2025-12-06,House Leasing,113.88,Rent
2025-12-06,Agha Khan Hospital,412.21,Health
2025-11-09,Netflix Subscription,247.22,Subscriptions
2025-07-25,Concert Ticket,477.86,Entertainment
2025-11-11,InDrive,165.88,Transport
2025-08-19,Cloud Storage,57.52,Subscriptions
2025-03-30,Spotify Premium,302.19,Subscriptions
2025-08-17,PIA Ticket,84.0,Travel
2025-11-14,InDrive,190.44,Transport
2025-05-10,Careem,443.51,Transport
2026-01-17,Biryani,110.55,Food
2025-10-30,Spotify Premium,474.92,Subscriptions
2026-02-11,Spotify Premium,92.12,Subscriptions
2025-09-30,Target,281.71,Shopping
2025-11-02,InDrive,368.57,Transport
2025-12-22,Hotel Booking,343.93,Travel
2025-07-19,Eid Clothes,149.83,Shopping
2025-10-28,Apartment Rent,339.03,Rent
